id,times_appeared,true_menuitem_count
208,18,19
1232,37,38
1397,1,2
3480,4,6
26216,0,1
56487,20,21
66055,1,2
83459,19,20
101301,1,2
127023,6,7
137277,0,2
148983,-1,1
208607,6,7
223497,-2,1
266209,2,4
310049,3,4
328701,3,4
349776,29,30
373834,2,1
375501,3,2
381075,0,2
384812,0,1
400430,2,3
400433,1,2
400451,2,3
400454,2,3
418814,2,1
435966,0,1
436812,0,1
441478,0,1
453981,0,1
455791,2,1
460639,1,2
460969,0,1
489526,2,1
504210,0,1
510718,-3,1
515690,543,544
515695,303,304
515702,315,316
515725,3030,3033
515731,1423,1424
515746,2042,2034
515765,729,730
515780,965,966
515834,756,757
515855,652,653
515952,622,623
516032,1637,1638
516068,644,645
516074,977,978
516075,664,663
516118,102,103
516120,73,74
516128,2115,2116
516172,4774,4776
516219,596,597
516398,272,274
516410,323,324
516418,88,89
516457,262,263
516468,10,11
516504,831,832
516523,226,227
516531,570,571
516535,352,353
516645,84,85
516650,392,393
516660,376,377
516684,126,127
516710,237,238
516728,138,139
516807,273,274
516879,53,52
516880,608,609
516962,352,353
517006,47,50
517028,62,63
517038,108,109
517244,71,72
517429,138,139
517462,283,284
517475,52,53
517688,126,127
517794,290,292
517952,138,139
518069,11,12
518281,89,90
518310,54,55
518600,45,46
518690,651,652
518788,397,398
519066,43,44
519225,245,248
519233,89,88
519291,20,21
519611,95,96
519738,49,48
519749,30,31
519941,19,20
520005,16,18
520107,58,59
520124,14,16
520488,8,10
521099,48,49
521134,442,441
522738,3,4
522851,10,11
522884,345,347
522958,1,2
523698,88,89
524008,145,146
524560,17,18
524678,16,17
526018,10,11
526498,11,13
527079,73,74
528642,11,12
529280,1,3
529298,14,15
529458,31,32
529857,42,43
529934,27,28
531732,64,65
531828,5,2
531925,13,14
532232,46,47
532343,14,15
532465,6,7
535846,1,2
536338,18,19
536708,18,19
536846,10,11
537330,14,16
537393,0,1
