id,created_at,updated_at
773,2011-04-19 18:40:33 UTC,2011-04-19 18:39:49 UTC
938,2011-04-19 18:59:03 UTC,2011-04-19 18:58:17 UTC
1852,2011-04-19 20:57:12 UTC,2011-04-19 20:56:41 UTC
1858,2011-04-19 20:59:34 UTC,2011-04-19 20:58:32 UTC
2034,2011-04-19 21:53:27 UTC,2011-04-19 21:52:43 UTC
2532,2011-04-20 01:05:42 UTC,2011-04-20 01:05:02 UTC
2895,2011-04-20 02:13:51 UTC,2011-04-20 02:12:46 UTC
3020,2011-04-20 02:31:51 UTC,2011-04-20 02:30:52 UTC
5696,2011-04-20 19:05:49 UTC,2011-04-20 19:04:57 UTC
5843,2011-04-20 19:15:42 UTC,2011-04-20 19:14:56 UTC
5976,2011-04-20 19:25:53 UTC,2011-04-20 19:24:50 UTC
6165,2011-04-20 19:36:27 UTC,2011-04-20 19:35:56 UTC
6391,2011-04-20 19:46:29 UTC,2011-04-20 19:45:32 UTC
6646,2011-04-20 19:57:09 UTC,2011-04-20 19:57:08 UTC
8265,2011-04-20 21:15:21 UTC,2011-04-20 21:14:58 UTC
8375,2011-04-20 21:21:03 UTC,2011-04-20 21:20:40 UTC
8590,2011-04-20 21:31:41 UTC,2011-04-20 21:31:08 UTC
10072,2011-04-20 22:55:14 UTC,2011-04-20 22:54:56 UTC
10154,2011-04-20 22:58:21 UTC,2011-04-20 22:57:20 UTC
10706,2011-04-20 23:16:33 UTC,2011-04-20 23:15:27 UTC
10797,2011-04-20 23:21:42 UTC,2011-04-20 23:20:42 UTC
10949,2011-04-20 23:32:15 UTC,2011-04-20 23:31:25 UTC
11584,2011-04-21 00:14:19 UTC,2011-04-21 00:13:13 UTC
11846,2011-04-21 00:35:44 UTC,2011-04-21 00:34:50 UTC
12469,2011-04-21 01:22:31 UTC,2011-04-21 01:22:06 UTC
13027,2011-04-21 01:59:33 UTC,2011-04-21 01:58:35 UTC
13325,2011-04-21 02:19:06 UTC,2011-04-21 02:18:04 UTC
13407,2011-04-21 02:25:49 UTC,2011-04-21 02:25:21 UTC
14155,2011-04-21 03:23:22 UTC,2011-04-21 03:22:17 UTC
14463,2011-04-21 03:46:47 UTC,2011-04-21 03:45:47 UTC
14953,2011-04-21 04:19:12 UTC,2011-04-21 04:18:18 UTC
16007,2011-04-21 07:32:09 UTC,2011-04-21 07:31:09 UTC
17507,2011-04-21 14:16:23 UTC,2011-04-21 14:15:38 UTC
17896,2011-04-21 14:36:08 UTC,2011-04-21 14:35:03 UTC
18333,2011-04-21 14:55:46 UTC,2011-04-21 14:54:46 UTC
18377,2011-04-21 14:57:52 UTC,2011-04-21 14:57:22 UTC
18559,2011-04-21 15:05:38 UTC,2011-04-21 15:05:32 UTC
18575,2011-04-21 15:06:13 UTC,2011-04-21 15:05:43 UTC
18679,2011-04-21 15:09:43 UTC,2011-04-21 15:08:46 UTC
18839,2011-04-21 15:16:27 UTC,2011-04-21 15:15:32 UTC
18990,2011-04-21 15:24:56 UTC,2011-04-21 15:24:37 UTC
20163,2011-04-21 16:56:37 UTC,2011-04-21 16:55:37 UTC
20617,2011-04-21 17:16:04 UTC,2011-04-21 17:15:11 UTC
21161,2011-04-21 17:33:45 UTC,2011-04-21 17:32:51 UTC
21327,2011-04-21 17:44:36 UTC,2011-04-21 17:43:41 UTC
22468,2011-04-21 18:23:39 UTC,2011-04-21 18:22:35 UTC
22716,2011-04-21 18:36:20 UTC,2011-04-21 18:35:16 UTC
23005,2011-04-21 18:49:21 UTC,2011-04-21 18:48:50 UTC
23173,2011-04-21 18:58:16 UTC,2011-04-21 18:57:13 UTC
23219,2011-04-21 19:00:30 UTC,2011-04-21 18:59:29 UTC
23279,2011-04-21 19:02:46 UTC,2011-04-21 19:02:29 UTC
24502,2011-04-21 20:11:13 UTC,2011-04-21 20:10:37 UTC
24662,2011-04-21 20:20:44 UTC,2011-04-21 20:20:32 UTC
24832,2011-04-21 20:31:00 UTC,2011-04-21 20:30:33 UTC
25962,2011-04-21 21:10:23 UTC,2011-04-21 21:09:31 UTC
26005,2011-04-21 21:11:35 UTC,2011-04-21 21:11:24 UTC
26231,2011-04-21 21:21:02 UTC,2011-04-21 21:20:23 UTC
26597,2011-04-21 21:40:35 UTC,2011-04-21 21:39:43 UTC
27898,2011-04-21 22:41:05 UTC,2011-04-21 22:40:00 UTC
28106,2011-04-21 22:53:25 UTC,2011-04-21 22:53:03 UTC
28532,2011-04-21 23:12:55 UTC,2011-04-21 23:12:09 UTC
28792,2011-04-21 23:26:58 UTC,2011-04-21 23:25:59 UTC
29683,2011-04-22 00:11:30 UTC,2011-04-22 00:10:33 UTC
30177,2011-04-22 00:46:25 UTC,2011-04-22 00:45:22 UTC
31263,2011-04-22 02:26:26 UTC,2011-04-22 02:25:30 UTC
31370,2011-04-22 02:35:32 UTC,2011-04-22 02:35:15 UTC
31526,2011-04-22 02:49:17 UTC,2011-04-22 02:48:14 UTC
31764,2011-04-22 03:07:52 UTC,2011-04-22 03:06:47 UTC
31923,2011-04-22 03:23:54 UTC,2011-04-22 03:22:54 UTC
32516,2011-04-22 04:42:32 UTC,2011-04-22 04:41:41 UTC
32767,2011-04-22 05:03:35 UTC,2011-04-22 05:03:03 UTC
33273,2011-04-22 05:49:32 UTC,2011-04-22 05:48:33 UTC
34392,2011-04-22 12:22:36 UTC,2011-04-22 12:22:33 UTC
34417,2011-04-22 12:26:34 UTC,2011-04-22 12:25:38 UTC
36294,2011-04-22 15:49:16 UTC,2011-04-22 15:48:32 UTC
36295,2011-04-22 15:49:25 UTC,2011-04-22 15:49:12 UTC
37716,2011-04-22 18:26:57 UTC,2011-04-22 18:25:58 UTC
38981,2011-04-22 20:15:52 UTC,2011-04-22 20:14:53 UTC
40812,2011-04-22 23:16:59 UTC,2011-04-22 23:16:28 UTC
41920,2011-04-23 00:49:35 UTC,2011-04-23 00:48:39 UTC
42394,2011-04-23 01:33:15 UTC,2011-04-23 01:32:09 UTC
42428,2011-04-23 01:36:32 UTC,2011-04-23 01:35:35 UTC
42453,2011-04-23 01:38:47 UTC,2011-04-23 01:37:57 UTC
42463,2011-04-23 01:39:33 UTC,2011-04-23 01:38:39 UTC
42583,2011-04-23 01:50:01 UTC,2011-04-23 01:49:17 UTC
42652,2011-04-23 01:55:48 UTC,2011-04-23 01:55:09 UTC
43123,2011-04-23 02:28:02 UTC,2011-04-23 02:27:05 UTC
44312,2011-04-23 05:14:10 UTC,2011-04-23 05:13:26 UTC
44355,2011-04-23 05:18:55 UTC,2011-04-23 05:18:00 UTC
45143,2011-04-23 13:18:13 UTC,2011-04-23 13:17:19 UTC
45283,2011-04-23 13:41:15 UTC,2011-04-23 13:40:27 UTC
45381,2011-04-23 13:55:00 UTC,2011-04-23 13:54:01 UTC
45539,2011-04-23 14:12:13 UTC,2011-04-23 14:12:09 UTC
45542,2011-04-23 14:12:31 UTC,2011-04-23 14:12:16 UTC
46326,2011-04-23 15:24:41 UTC,2011-04-23 15:24:23 UTC
46440,2011-04-23 15:35:14 UTC,2011-04-23 15:34:23 UTC
46526,2011-04-23 15:45:27 UTC,2011-04-23 15:44:30 UTC
46559,2011-04-23 15:47:45 UTC,2011-04-23 15:46:46 UTC
46581,2011-04-23 15:50:30 UTC,2011-04-23 15:49:28 UTC
47191,2011-04-23 17:24:00 UTC,2011-04-23 17:23:00 UTC
47196,2011-04-23 17:24:28 UTC,2011-04-23 17:23:26 UTC
47360,2011-04-23 17:36:27 UTC,2011-04-23 17:35:45 UTC
47380,2011-04-23 17:37:33 UTC,2011-04-23 17:37:01 UTC
47831,2011-04-23 18:35:10 UTC,2011-04-23 18:34:07 UTC
48386,2011-04-23 22:56:02 UTC,2011-04-23 22:55:30 UTC
49721,2011-04-24 05:54:34 UTC,2011-04-24 05:53:43 UTC
49743,2011-04-24 06:06:39 UTC,2011-04-24 06:06:05 UTC
49958,2011-04-24 06:56:30 UTC,2011-04-24 06:55:42 UTC
50296,2011-04-24 10:23:22 UTC,2011-04-24 10:22:35 UTC
50443,2011-04-24 11:22:48 UTC,2011-04-24 11:22:01 UTC
50890,2011-04-24 14:01:53 UTC,2011-04-24 14:01:29 UTC
51122,2011-04-24 14:59:16 UTC,2011-04-24 14:59:04 UTC
51700,2011-04-24 16:07:10 UTC,2011-04-24 16:06:21 UTC
51948,2011-04-24 16:45:09 UTC,2011-04-24 16:44:17 UTC
52299,2011-04-24 18:07:13 UTC,2011-04-24 18:06:46 UTC
52797,2011-04-24 20:13:08 UTC,2011-04-24 20:12:08 UTC
53245,2011-04-24 21:19:00 UTC,2011-04-24 21:18:27 UTC
53378,2011-04-24 21:36:02 UTC,2011-04-24 21:35:35 UTC
53496,2011-04-24 21:57:12 UTC,2011-04-24 21:56:11 UTC
53514,2011-04-24 22:00:33 UTC,2011-04-24 21:59:38 UTC
53840,2011-04-24 22:54:55 UTC,2011-04-24 22:53:58 UTC
54142,2011-04-24 23:18:34 UTC,2011-04-24 23:17:56 UTC
54222,2011-04-24 23:23:26 UTC,2011-04-24 23:23:10 UTC
54653,2011-04-25 00:27:40 UTC,2011-04-25 00:26:41 UTC
54933,2011-04-25 00:58:46 UTC,2011-04-25 00:57:41 UTC
55134,2011-04-25 01:13:36 UTC,2011-04-25 01:13:27 UTC
55136,2011-04-25 01:13:48 UTC,2011-04-25 01:13:44 UTC
55164,2011-04-25 01:15:44 UTC,2011-04-25 01:14:43 UTC
55481,2011-04-25 01:39:10 UTC,2011-04-25 01:38:06 UTC
55840,2011-04-25 02:20:52 UTC,2011-04-25 02:20:43 UTC
55966,2011-04-25 02:32:52 UTC,2011-04-25 02:31:48 UTC
55989,2011-04-25 02:35:43 UTC,2011-04-25 02:34:40 UTC
56326,2011-04-25 03:08:33 UTC,2011-04-25 03:08:18 UTC
56493,2011-04-25 03:21:41 UTC,2011-04-25 03:20:49 UTC
56649,2011-04-25 03:41:44 UTC,2011-04-25 03:41:07 UTC
56926,2011-04-25 07:22:11 UTC,2011-04-25 07:21:14 UTC
57244,2011-04-25 13:33:19 UTC,2011-04-25 13:32:45 UTC
57421,2011-04-25 14:25:28 UTC,2011-04-25 14:24:31 UTC
58789,2011-04-25 17:02:34 UTC,2011-04-25 17:01:37 UTC
59288,2011-04-25 17:39:37 UTC,2011-04-25 17:38:50 UTC
59404,2011-04-25 17:46:44 UTC,2011-04-25 17:45:47 UTC
60209,2011-04-25 20:04:41 UTC,2011-04-25 20:04:13 UTC
60339,2011-04-25 20:10:18 UTC,2011-04-25 20:10:00 UTC
61327,2011-04-25 21:34:50 UTC,2011-04-25 21:33:54 UTC
61349,2011-04-25 21:37:28 UTC,2011-04-25 21:36:42 UTC
61537,2011-04-25 22:08:29 UTC,2011-04-25 22:07:41 UTC
61643,2011-04-25 22:18:55 UTC,2011-04-25 22:17:57 UTC
61812,2011-04-25 22:42:40 UTC,2011-04-25 22:41:39 UTC
63815,2011-04-26 02:40:35 UTC,2011-04-26 02:39:38 UTC
63833,2011-04-26 02:41:54 UTC,2011-04-26 02:40:55 UTC
63892,2011-04-26 02:44:44 UTC,2011-04-26 02:43:45 UTC
64274,2011-04-26 03:27:07 UTC,2011-04-26 03:26:37 UTC
64410,2011-04-26 03:47:42 UTC,2011-04-26 03:46:44 UTC
64525,2011-04-26 04:12:03 UTC,2011-04-26 04:11:04 UTC
64548,2011-04-26 04:14:42 UTC,2011-04-26 04:13:43 UTC
64618,2011-04-26 04:23:03 UTC,2011-04-26 04:22:08 UTC
64625,2011-04-26 04:24:03 UTC,2011-04-26 04:23:03 UTC
64636,2011-04-26 04:25:46 UTC,2011-04-26 04:24:46 UTC
64667,2011-04-26 04:30:08 UTC,2011-04-26 04:29:26 UTC
65806,2011-04-26 14:15:08 UTC,2011-04-26 14:14:15 UTC
67559,2011-04-26 16:35:51 UTC,2011-04-26 16:34:50 UTC
67562,2011-04-26 16:36:03 UTC,2011-04-26 16:35:08 UTC
68120,2011-04-26 17:13:25 UTC,2011-04-26 17:12:36 UTC
68256,2011-04-26 17:21:48 UTC,2011-04-26 17:20:49 UTC
68684,2011-04-26 17:41:27 UTC,2011-04-26 17:40:27 UTC
69345,2011-04-26 18:27:00 UTC,2011-04-26 18:26:37 UTC
69943,2011-04-26 18:56:38 UTC,2011-04-26 18:55:42 UTC
70074,2011-04-26 19:03:35 UTC,2011-04-26 19:02:44 UTC
70190,2011-04-26 19:07:26 UTC,2011-04-26 19:06:28 UTC
70841,2011-04-26 19:30:07 UTC,2011-04-26 19:30:03 UTC
70932,2011-04-26 19:33:09 UTC,2011-04-26 19:32:15 UTC
71124,2011-04-26 19:38:33 UTC,2011-04-26 19:37:58 UTC
71348,2011-04-26 19:44:29 UTC,2011-04-26 19:44:22 UTC
71759,2011-04-26 19:58:10 UTC,2011-04-26 19:57:48 UTC
72159,2011-04-26 20:14:43 UTC,2011-04-26 20:13:42 UTC
72712,2011-04-26 20:39:19 UTC,2011-04-26 20:38:29 UTC
72897,2011-04-26 20:46:17 UTC,2011-04-26 20:45:21 UTC
73456,2011-04-26 21:08:18 UTC,2011-04-26 21:08:10 UTC
74284,2011-04-26 21:36:28 UTC,2011-04-26 21:35:48 UTC
74398,2011-04-26 21:39:24 UTC,2011-04-26 21:38:25 UTC
75206,2011-04-26 22:10:44 UTC,2011-04-26 22:09:48 UTC
76084,2011-04-26 22:44:48 UTC,2011-04-26 22:43:47 UTC
76172,2011-04-26 22:48:30 UTC,2011-04-26 22:47:44 UTC
76476,2011-04-26 23:05:00 UTC,2011-04-26 23:04:05 UTC
76534,2011-04-26 23:09:00 UTC,2011-04-26 23:07:57 UTC
76578,2011-04-26 23:10:36 UTC,2011-04-26 23:09:29 UTC
76893,2011-04-26 23:25:08 UTC,2011-04-26 23:24:11 UTC
77550,2011-04-26 23:52:53 UTC,2011-04-26 23:51:52 UTC
77783,2011-04-27 00:03:36 UTC,2011-04-27 00:03:20 UTC
77876,2011-04-27 00:06:29 UTC,2011-04-27 00:05:38 UTC
77883,2011-04-27 00:06:45 UTC,2011-04-27 00:06:19 UTC
77959,2011-04-27 00:09:19 UTC,2011-04-27 00:08:51 UTC
78455,2011-04-27 00:25:04 UTC,2011-04-27 00:24:54 UTC
78570,2011-04-27 00:29:23 UTC,2011-04-27 00:28:50 UTC
79353,2011-04-27 00:52:42 UTC,2011-04-27 00:51:45 UTC
79358,2011-04-27 00:52:56 UTC,2011-04-27 00:52:39 UTC
79475,2011-04-27 00:59:32 UTC,2011-04-27 00:58:46 UTC
79816,2011-04-27 01:13:31 UTC,2011-04-27 01:12:38 UTC
79953,2011-04-27 01:19:07 UTC,2011-04-27 01:18:18 UTC
79970,2011-04-27 01:20:17 UTC,2011-04-27 01:19:32 UTC
80631,2011-04-27 01:46:11 UTC,2011-04-27 01:45:20 UTC
81183,2011-04-27 02:03:40 UTC,2011-04-27 02:02:37 UTC
81266,2011-04-27 02:06:54 UTC,2011-04-27 02:06:29 UTC
81961,2011-04-27 02:35:55 UTC,2011-04-27 02:35:46 UTC
82264,2011-04-27 02:50:49 UTC,2011-04-27 02:49:53 UTC
82538,2011-04-27 03:03:21 UTC,2011-04-27 03:02:25 UTC
83622,2011-04-27 03:57:56 UTC,2011-04-27 03:57:06 UTC
83796,2011-04-27 04:07:51 UTC,2011-04-27 04:07:37 UTC
84167,2011-04-27 04:28:16 UTC,2011-04-27 04:28:02 UTC
84177,2011-04-27 04:28:49 UTC,2011-04-27 04:28:00 UTC
84604,2011-04-27 05:02:52 UTC,2011-04-27 05:01:54 UTC
84672,2011-04-27 05:06:53 UTC,2011-04-27 05:05:55 UTC
85096,2011-04-27 05:31:12 UTC,2011-04-27 05:30:57 UTC
85347,2011-04-27 06:14:30 UTC,2011-04-27 06:13:44 UTC
85663,2011-04-27 06:46:57 UTC,2011-04-27 06:45:59 UTC
85760,2011-04-27 07:00:38 UTC,2011-04-27 06:59:41 UTC
86095,2011-04-27 07:55:54 UTC,2011-04-27 07:55:04 UTC
86102,2011-04-27 07:57:06 UTC,2011-04-27 07:56:15 UTC
86269,2011-04-27 08:24:22 UTC,2011-04-27 08:23:38 UTC
86529,2011-04-27 11:12:15 UTC,2011-04-27 11:12:01 UTC
86681,2011-04-27 12:26:32 UTC,2011-04-27 12:25:36 UTC
87131,2011-04-27 13:16:50 UTC,2011-04-27 13:15:53 UTC
87440,2011-04-27 13:42:55 UTC,2011-04-27 13:41:57 UTC
87806,2011-04-27 14:03:39 UTC,2011-04-27 14:02:43 UTC
87950,2011-04-27 14:14:42 UTC,2011-04-27 14:13:45 UTC
88449,2011-04-27 14:40:44 UTC,2011-04-27 14:39:42 UTC
88532,2011-04-27 14:44:06 UTC,2011-04-27 14:43:05 UTC
88644,2011-04-27 14:54:43 UTC,2011-04-27 14:54:17 UTC
88768,2011-04-27 15:02:59 UTC,2011-04-27 15:02:20 UTC
89096,2011-04-27 15:21:09 UTC,2011-04-27 15:20:49 UTC
89307,2011-04-27 15:36:44 UTC,2011-04-27 15:35:58 UTC
89427,2011-04-27 15:43:36 UTC,2011-04-27 15:42:40 UTC
89532,2011-04-27 15:49:40 UTC,2011-04-27 15:48:46 UTC
89597,2011-04-27 15:52:45 UTC,2011-04-27 15:51:44 UTC
89998,2011-04-27 16:34:29 UTC,2011-04-27 16:33:35 UTC
90050,2011-04-27 16:38:30 UTC,2011-04-27 16:37:48 UTC
90074,2011-04-27 16:40:21 UTC,2011-04-27 16:40:00 UTC
90094,2011-04-27 16:41:18 UTC,2011-04-27 16:40:14 UTC
90137,2011-04-27 16:43:21 UTC,2011-04-27 16:42:20 UTC
90226,2011-04-27 16:47:38 UTC,2011-04-27 16:47:05 UTC
91293,2011-04-27 18:06:27 UTC,2011-04-27 18:05:35 UTC
91616,2011-04-27 18:24:08 UTC,2011-04-27 18:23:39 UTC
91738,2011-04-27 18:33:03 UTC,2011-04-27 18:32:45 UTC
91972,2011-04-27 18:51:26 UTC,2011-04-27 18:50:59 UTC
92209,2011-04-27 19:04:32 UTC,2011-04-27 19:04:05 UTC
92345,2011-04-27 19:08:58 UTC,2011-04-27 19:07:55 UTC
92874,2011-04-27 19:38:58 UTC,2011-04-27 19:38:16 UTC
93696,2011-04-27 20:18:07 UTC,2011-04-27 20:17:24 UTC
94667,2011-04-27 20:54:18 UTC,2011-04-27 20:53:33 UTC
94761,2011-04-27 20:58:55 UTC,2011-04-27 20:58:04 UTC
95243,2011-04-27 21:16:29 UTC,2011-04-27 21:15:40 UTC
95609,2011-04-27 21:28:02 UTC,2011-04-27 21:27:05 UTC
96177,2011-04-27 21:43:23 UTC,2011-04-27 21:42:38 UTC
96676,2011-04-27 21:57:23 UTC,2011-04-27 21:56:33 UTC
97034,2011-04-27 22:11:10 UTC,2011-04-27 22:10:09 UTC
97243,2011-04-27 22:20:42 UTC,2011-04-27 22:19:50 UTC
98652,2011-04-27 23:24:35 UTC,2011-04-27 23:23:38 UTC
99147,2011-04-27 23:44:38 UTC,2011-04-27 23:44:33 UTC
99326,2011-04-27 23:50:44 UTC,2011-04-27 23:50:37 UTC
99385,2011-04-27 23:52:54 UTC,2011-04-27 23:52:53 UTC
99830,2011-04-28 00:10:10 UTC,2011-04-28 00:09:21 UTC
100552,2011-04-28 01:06:15 UTC,2011-04-28 01:05:45 UTC
100578,2011-04-28 01:08:56 UTC,2011-04-28 01:08:02 UTC
100942,2011-04-28 01:43:16 UTC,2011-04-28 01:42:26 UTC
102457,2011-04-28 04:32:06 UTC,2011-04-28 04:31:07 UTC
103135,2011-04-28 05:21:40 UTC,2011-04-28 05:20:43 UTC
103147,2011-04-28 05:22:39 UTC,2011-04-28 05:21:38 UTC
103170,2011-04-28 05:24:10 UTC,2011-04-28 05:23:12 UTC
103209,2011-04-28 05:26:44 UTC,2011-04-28 05:25:48 UTC
103553,2011-04-28 05:54:32 UTC,2011-04-28 05:53:33 UTC
104241,2011-04-28 10:16:41 UTC,2011-04-28 10:16:15 UTC
104306,2011-04-28 10:39:48 UTC,2011-04-28 10:38:58 UTC
104330,2011-04-28 10:42:21 UTC,2011-04-28 10:42:13 UTC
104422,2011-04-28 10:49:08 UTC,2011-04-28 10:48:46 UTC
104726,2011-04-28 11:38:18 UTC,2011-04-28 11:37:30 UTC
104875,2011-04-28 11:52:04 UTC,2011-04-28 11:51:55 UTC
104960,2011-04-28 12:00:11 UTC,2011-04-28 11:59:18 UTC
105358,2011-04-28 12:32:23 UTC,2011-04-28 12:31:30 UTC
105970,2011-04-28 13:34:37 UTC,2011-04-28 13:33:47 UTC
